timestamp,namada.indexer.LoserBoy.is_up_to_date,namada.indexer.LoserBoy.status,namada.indexer.LoserBoy.sync_state,namada.indexer.LoserBoy.version,namada.interface.LoserBoy.is_up_to_date,namada.interface.LoserBoy.status,namada.interface.LoserBoy.version,namada.masp.LoserBoy.is_up_to_date,namada.masp.LoserBoy.status,namada.masp.LoserBoy.sync_state,namada.masp.LoserBoy.version,namada.rpc.LoserBoy.is_up_to_date,namada.rpc.LoserBoy.status,namada.rpc.LoserBoy.sync_state,namada.rpc.LoserBoy.version
2025-06-15T14:39:16.261615+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-15T15:14:56.303071+00:00Z,True,up,sync_nok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T09:19:20.188451+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-16T19:12:29.683452+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T08:22:01.182699+00:00Z,True,up,sync_nok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T11:14:12.314056+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T13:28:56.520118+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T14:15:39.607539+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,False,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T19:12:38.679276+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T15:38:31.773102+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-21T16:18:33.342892+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T09:19:33.180405+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-30T09:43:50.534575+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-10T11:14:38.615606+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T11:39:07.744637+00:00Z,True,up,sync_lag,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T12:35:51.403300+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T13:33:44.879063+00:00Z,True,up,sync_nok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T14:17:50.489842+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T15:18:29.275236+00:00Z,False,up,sync_lag,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T16:21:39.017662+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T15:17:01.249643+00:00Z,False,up,sync_ok,3.3.3,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T15:18:52.358967+00:00Z,False,up,sync_ok,3.3.4,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-16T19:14:51.286483+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T20:19:00.950177+00:00Z,True,up,sync_nok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T21:40:42.949405+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-18T11:15:01.629480+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-19T06:24:00.579129+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-19T08:20:59.406206+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-19T09:16:15.224955+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T06:26:35.245229+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-25T09:20:45.289470+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T19:39:08.954512+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-30T20:18:15.678416+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-08-02T01:21:26.544203+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,False,down,sync_nok,n/a
2025-08-02T07:15:41.828300+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_nok,0.37.15
2025-08-02T08:20:51.819071+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-08-16T09:16:07.843469+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-08-20T15:41:27.156956+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_nok,0.37.15
2025-08-20T23:14:31.541264+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
